"location","date","total_cases","new_cases","total_deaths","new_deaths","total_cases_per_million","new_cases_per_million","total_deaths_per_million","new_deaths_per_million","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","tests_units","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cvd_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_100k"
"China","2020-03-28",81946,119,3299,3,56.934,0.083,2.292,0.002,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-03-29",82059,113,3304,5,57.012,0.079,2.296,0.003,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-03-30",82157,98,3306,2,57.08,0.068,2.297,0.001,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-03-31",82241,84,3309,3,57.139,0.058,2.299,0.002,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-04-01",82295,54,3310,1,57.176,0.038,2.3,0.001,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-04-02",82395,100,3316,6,57.246,0.069,2.304,0.004,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-04-03",82465,70,3326,10,57.294,0.049,2.311,0.007,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-04-04",82527,62,3330,4,57.337,0.043,2.314,0.003,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-04-05",82575,48,3333,3,57.371,0.033,2.316,0.002,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-04-06",82642,67,3335,2,57.417,0.047,2.317,0.001,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
"China","2020-04-07",82698,56,3335,0,57.456,0.039,2.317,0,,,,,,1439323774,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34
